Date,SentimentA,SentimentB,SentimentC,SentimentD,SentimentE
2017-01-01T00:00:00Z,1,0,4,0,0
2017-01-01T01:00:00Z,0,0,2,0,0
2017-01-01T02:00:00Z,2,0,4,0,0
2017-01-01T03:00:00Z,0,0,1,0,0
2017-01-01T04:00:00Z,0,0,4,0,0
2017-01-01T05:00:00Z,0,2,3,0,0
2017-01-01T06:00:00Z,0,0,3,0,0
2017-01-01T07:00:00Z,0,0,1,0,0
2017-01-01T08:00:00Z,1,0,1,0,1
2017-01-01T09:00:00Z,1,0,2,0,0
2017-01-01T10:00:00Z,0,0,3,0,0
2017-01-01T11:00:00Z,0,0,3,0,0
2017-01-01T12:00:00Z,1,1,3,0,0
2017-01-01T13:00:00Z,1,1,6,0,0
2017-01-01T14:00:00Z,1,1,4,0,1
2017-01-01T15:00:00Z,1,1,3,0,1
2017-01-01T16:00:00Z,5,0,16,0,0
2017-01-01T17:00:00Z,8,1,19,0,2
2017-01-01T18:00:00Z,3,1,16,0,1
2017-01-01T19:00:00Z,3,0,13,0,1
2017-01-01T20:00:00Z,3,1,9,0,3
2017-01-01T21:00:00Z,6,0,17,0,1
2017-01-01T22:00:00Z,3,1,7,0,0
2017-01-01T23:00:00Z,1,0,5,0,0
2017-01-02T00:00:00Z,1,0,3,0,0
2017-01-02T01:00:00Z,3,0,8,0,0
2017-01-02T02:00:00Z,0,0,4,0,0
2017-01-02T03:00:00Z,0,0,2,0,2
2017-01-02T04:00:00Z,2,0,6,1,0
2017-01-02T05:00:00Z,1,0,9,0,1
2017-01-02T06:00:00Z,0,0,1,0,1
2017-01-02T07:00:00Z,2,0,5,0,1
2017-01-02T08:00:00Z,1,1,6,0,2
2017-01-02T09:00:00Z,0,0,2,0,0
2017-01-02T10:00:00Z,0,1,2,0,0
2017-01-02T11:00:00Z,0,0,3,0,2
2017-01-02T12:00:00Z,2,0,5,0,0
2017-01-02T13:00:00Z,0,0,8,0,2
2017-01-02T14:00:00Z,1,0,13,0,1
2017-01-02T15:00:00Z,1,0,5,0,1
2017-01-02T16:00:00Z,2,1,9,0,3
2017-01-02T17:00:00Z,0,0,10,0,1
2017-01-02T18:00:00Z,3,0,9,0,3
2017-01-02T19:00:00Z,0,2,1,0,1
2017-01-02T20:00:00Z,0,2,6,0,1
2017-01-02T21:00:00Z,3,0,7,0,0
2017-01-02T22:00:00Z,3,0,8,0,0
2017-01-02T23:00:00Z,2,1,3,0,2
2017-01-03T00:00:00Z,1,0,5,0,1
2017-01-03T01:00:00Z,1,3,5,0,0
2017-01-03T02:00:00Z,0,1,3,0,2
2017-01-03T03:00:00Z,0,1,7,0,2
2017-01-03T04:00:00Z,1,2,2,0,0
2017-01-03T05:00:00Z,0,0,1,0,0
2017-01-03T06:00:00Z,1,0,4,0,0
2017-01-03T07:00:00Z,1,1,2,1,1
2017-01-03T08:00:00Z,0,0,9,0,1
2017-01-03T09:00:00Z,0,0,5,0,0
2017-01-03T10:00:00Z,0,1,7,0,0
2017-01-03T11:00:00Z,0,0,6,0,1
2017-01-03T12:00:00Z,0,0,2,0,0
2017-01-03T13:00:00Z,0,1,7,0,0
